grdc_no,wmo_reg,sub_reg,river,station,country,lat,long,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
1749100,1,49,UBANGI,BANGUI,CF,4.366666667,18.58333333,499000,336,1911,2016,106,16.68951957,1911,1994,84,34.30290873,1911,2016,106,3761.045,3761.045,3761.045
6139260,6,39,UBAYE,LAUZET UBAYE (ROCHE ROUSSE),FR,44.449121,6.400326,946,842.02,1960,2012,53,1.175180194,,,,,1960,2012,53,19.966,19.966,19.966
6139261,6,39,UBAYE,BARCELONNETTE (ABATTOIR),FR,44.383261,6.651729,549,1183.87,1904,2012,109,3.421717172,,,,,1904,2012,109,10.662,10.662,10.662
2909340,2,9,UBEY,UBEY,RU,54.83,91.83,304,-999,,,,,1979,1993,15,24.44444444,1979,1993,15,1.672,1.672,1.672
6983500,6,83,UBIN,SEVERSKAYA,RU,44.850556,38.676111,201,-999,1978,1987,10,0,1978,1987,10,0,1978,1987,10,1.188,1.188,1.188
2903087,2,3,UCHUR,CHULBU,RU,57.77,130.9,108000,-999,1966,1984,19,0.446685879,1954,2015,62,0.268817204,1954,2015,62,1252.318,1252.318,1252.318
6549110,6,49,UCJA,ZAGA,SI,46.3097,13.4778,50.2,341.551,1954,2016,63,0,,,,,1954,2016,63,3.452,3.452,3.452
6607560,6,7,"UCK, RIVER",ISFIELD,GB,50.9520343,0.075354204,87.8,11.3,1964,2018,55,0.339704913,,,,,1964,2018,55,1.138,1.138,1.138
4206840,4,6,UCONA RIVER,AT THE MOUTH,CA,49.708889,-126.09778,185,30,1957,2014,58,8.330958488,1957,1996,40,11.53039832,1957,2014,58,17.821,17.821,17.821
2907020,2,7,UDA,ULAN-UDE,RU,51.83,107.63,34700,-999,,,,,1936,1997,62,12.90322581,1936,1997,62,67.571,67.571,67.571
2907021,2,7,UDA,HORINSK,RU,52.15,109.75,7850,-999,,,,,1942,1997,56,1.339285714,1942,1997,56,8.252,8.252,8.252
2907022,2,7,UDA,UST'-AGITA,RU,52.32,110.63,3900,-999,,,,,1955,1997,43,18.59099804,1955,1997,43,6.181,6.181,6.181
6144490,6,44,UDAVA,UDAVSKE,SK,48.983334,21.966667,211,-999,1976,1988,13,0,1976,1988,13,0,1976,1988,13,1.77,1.77,1.77
6144500,6,44,UDAVA,ADIDOVCE,SK,49.016666,22.049999,176,202,1978,1980,3,0,1978,1980,3,0,1978,1980,3,2.047,2.047,2.047
6970435,6,70,UFTYUGA,YARUKHINO,RU,61.72,46.72,3540,-999,,,,,1942,1988,47,1.063829787,1942,1988,47,35.502,35.502,35.502
6970470,6,70,UFTYUGA,KOLENO,RU,60.388332,44.158333,2360,-999,,,,,1952,1988,37,0,1952,1988,37,21.599,21.599,21.599
6970926,6,70,UFTYUGA,MALANYEVSKAYA,RU,60.090832,39.278332,618,-999,,,,,1951,1978,28,1.807228916,1951,1978,28,6.154,6.154,6.154
